field_id,field_name,notes,category_name,item_count
30220,Basophill percentage,"Result of Basophils Percentage assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Basophils (Percentage) is calculated as the proportion of basophils in the leukocytes.",Blood count,502550
30230,Nucleated red blood cell percentage,"Result of Nucleated Red Blood Cells Percentage assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Nucleated Red Blood Cells (Percentage) is defined as the number of nucleated red blood cells per 100 white blood cells.",Blood count,496849
30240,Reticulocyte percentage,"Result of Reticulocytes Percentage assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Reticulocytes (Percentage) is the number of reticulocytes as a percentage of red blood cells.",Blood count,494714
30250,Reticulocyte count,"Result of Reticulocytes Number assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Reticulocytes count is computed from the reticulocyte per cent multiplied by the red blood cell count.",Blood count,494715
30260,Mean reticulocyte volume,"Result of Mean Reticulocytes Volume assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Mean Reticulocytes volume is the average volume of all reticulocytes, calculated from the reticulocytes (percentage).",Blood count,494715
30270,Mean sphered cell volume,"Result of Mean Sphered Cells Volume assay, performed on blood sample, obtained from UK Biobank assessment centre visit.",Blood count,489146
30280,Immature reticulocyte fraction,"Result of Immature Reticulocytes Fraction assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Immature Reticulocytes Fraction (Percentage) is an indication of new reticulocyte synthesis and is calculated from the reticulocytes (Percentage) as the total number of reticulocyte events in the outermost light scattering region, corresponding to immature reticulocytes, relative to the total number of reticulocytes and is reported as this ratio.",Blood count,489144
30290,High light scatter reticulocyte percentage,"Result of High Light Scatter Reticulocytes Percentage assay, performed on blood sample, obtained from UK Biobank assessment centre visit. High Light Scatter Reticulocytes (Percentage) is computed as: (HLR / Total Erythrocytes) x 100.",Blood count,489146
30300,High light scatter reticulocyte count,"Result of High Light Scatter Reticulocytes Number assay, performed on blood sample, obtained from UK Biobank assessment centre visit. High Light Scatter Reticulocytes Count is calculated as: (HLR / Total Erythrocytes) x red blood cells",Blood count,489145
30500,Microalbumin in urine,Measured by immunoturbidimetric analysis on a Beckman Coulter AU5400.,Urine assays,159404
30510,Creatinine (enzymatic) in urine,Measured by enzymatic analysis on a Beckman Coulter AU5400.,Urine assays,503646
30520,Potassium in urine,Measured by ISE (ion selective electrode) analysis on a Beckman Coulter AU5400.,Urine assays,502594
30530,Sodium in urine,Measured by ISE (ion selective electrode) analysis using Beckman Coulter AU5400.,Urine assays,502576
30600,Albumin,Measured by BCG analysis on a Beckman Coulter AU5800,Blood biochemistry,445770
30610,Alkaline phosphatase,Measured by AMP(IFCC) analysis on a Beckman Coulter AU5800,Blood biochemistry,487473
30620,Alanine aminotransferase,Measured by IFCC analysis on a Beckman Coulter AU5800,Blood biochemistry,487266
30630,Apolipoprotein A,Measured by immunoturbidimetric analysis on a Beckman Coulter AU5800,Blood biochemistry,443078
30640,Apolipoprotein B,Measured by immunoturbidimetric analysis on a Beckman Coulter AU5800,Blood biochemistry,484996
30650,Aspartate aminotransferase,Measured by IFCC analysis on a Beckman Coulter AU5800,Blood biochemistry,485602
30660,Direct bilirubin,Measured by DPD analysis on a Beckman Coulter AU5800,Blood biochemistry,413662
30670,"Urea,Measured by GLDH", kinetic analysis on a Beckman Coulter AU5800,Blood biochemistry,487123
30680,Calcium,Measured by Arsenazo III analysis on a Beckman Coulter AU5800,Blood biochemistry,445619
30690,Cholesterol,Measured by CHO-POD analysis on a Beckman Coulter AU5800,Blood biochemistry,487467
30700,Creatinine,Measured by enzymatic analysis on a Beckman Coulter AU5800,Blood biochemistry,487201
30710,C-reactive protein,Measured by immunoturbidimetric - high sensitivity analysis on a Beckman Coulter AU5800,Blood biochemistry,486406
30720,Cystatin C,Measured by latex enhanced immunoturbidimetric analysis on a Siemens ADVIA 1800,Blood biochemistry,487423
30730,Gamma glutamyltransferase,Measured by IFCC analysis on a Beckman Coulter AU5800,Blood biochemistry,487206
30740,Glucose,Measured by hexokinase analysis on a Beckman Coulter AU5800,Blood biochemistry,445253
30750,Glycated haemoglobin (HbA1c),Measured by HPLC analysis on a Bio-Rad VARIANT II Turbo,Blood biochemistry,480773
30760,HDL cholesterol,Measured by enzyme immunoinhibition analysis on a Beckman Coulter AU5800,Blood biochemistry,445563
30770,IGF-1,Measured by CLIA analysis on a DiaSorin Ltd. LIASON XL,Blood biochemistry,484740
30780,LDL direct,Measured by enzymatic protective selection analysis on a Beckman Coulter AU5800,Blood biochemistry,486544
30790,Lipoprotein A,Measured by immunoturbidimetric analysis on a Randox AU5800. Values for Lipoprotein A that were outside the reportable range are available on request.,Blood biochemistry,389863
30800,Oestradiol,Measured by two step competitive analysis on a Beckman Coulter Unicel Dxl 800,Blood biochemistry,78535
30810,Phosphate,Measured by phophomolybdate complex analysis on a Beckman Coulter AU5800,Blood biochemistry,444901
30820,Rheumatoid factor,Measured by immunoturbidimetric analysis on a Beckman Coulter AU5800,Blood biochemistry,42998
30830,SHBG,Measured by two step sandwich immunoassay analysis on a Beckman Coulter Unicel Dxl 800,Blood biochemistry,441305
30840,Total bilirubin,Measured by photometric colour analysis on a Beckman Coulter AU5800,Blood biochemistry,485336
30850,Testosterone,Measured by one step competitive analysis on a Beckman Coulter Unicel Dxl 800,Blood biochemistry,441248
30860,Total protein,Measured by biuret analysis on a Beckman Coulter AU5800,Blood biochemistry,445289
30870,Triglycerides,Measured by GPO-POD analysis on a Beckman Coulter AU5800,Blood biochemistry,487059
30880,Urate,Measured by uricase PAP analysis on a Beckman Coulter AU5800,Blood biochemistry,486855
30890,Vitamin D,Measured by CLIA analysis on a DiaSorin Ltd. LIASON XL,Blood biochemistry,465389
30897,Estimated sample dilution factor,Average estimated dilution factor across assays.,Blood biochemistry processing,485036
40007,Age at death,Age calculated as interval between Date of Birth and Death.,Death register,30263
40008,Age at cancer diagnosis,Age calculated as interval between Dates of Birth and Cancer diagnosis.,Cancer register,118715
