"field_id","field_name","unit_name","category_name","item_count","priority","notes"
96,"Time since interview start at which blood pressure screen(s) shown","seconds","Blood pressure",1134875,1134875,"The time since interview start at which the blood pressure screen was shown is useful because it can be used to calculate the interval between the two measurements of blood pressure. This interval is variable because it, for efficiency reasons, it was impractical to use a fixed time during the UK Biobank Assessments."
102,"Pulse rate, automated reading","bpm","Blood pressure",1052519,2052519,"This is the pulse rate measured during the automated blood pressure readings."
118,"Mother's day of birth","day-of-month","Early life factors",279611,279611,"Mother's day of birth (this is the day-within-month)"
129,"Place of birth in UK - north co-ordinate","metre-grid","Early life factors",481101,481101,"Place born - north co-ordinate <br><br>This question was dropped from the touchscreen protocol on 24/10/2016."
130,"Place of birth in UK - east co-ordinate","metre-grid","Early life factors",481101,481101,"Place born - east co-ordinate <br><br>This question was dropped from the touchscreen protocol on 24/10/2016."
134,"Number of self-reported cancers",,"Medical conditions",567782,567782,"Number of cancers entered"
135,"Number of self-reported non-cancer illnesses",,"Medical conditions",567782,567782,"Number of non-cancer illnesses entered"
136,"Number of operations, self-reported",,"Operations",567782,567782,"Number of operations entered"
137,"Number of treatments/medications taken",,"Medications",567782,567782,"Number of treatments (medications) entered"
146,"Father's day of birth","day-of-month","Early life factors",255934,255934,"Father's day of birth (this is the day-within-month)"
189,"Townsend deprivation index at recruitment",,"Baseline characteristics",501882,1501882,"Townsend deprivation index calculated immediately prior to participant joining UK Biobank. Based on the preceding national census output areas. Each participant is assigned a score corresponding to the output area in which their postcode is located."
396,"Number of columns displayed in round",,"Pairs matching",1167107,1167107,
397,"Number of rows displayed in round",,"Pairs matching",1133762,1133762,
398,"Number of correct matches in round",,"Pairs matching",1167107,1167107,"This is the number of correct matches in the round. It should always be 3 for a 2x3 game and 6 for a 3x4 game, unless the participant abandoned before finishing."
399,"Number of incorrect matches in round",,"Pairs matching",1167107,1167107,"A value of 0 indicates the participant made no mistakes."
400,"Time to complete round","deciseconds","Pairs matching",1167107,1167107,
403,"Number of times snap-button pressed",,"Reaction time",6775848,6775848,"This indicates the number of times the snap-button was pressed (i.e. the user indicated the cards matched) in each round."
404,"Duration to first press of snap-button in each round","milliseconds","Reaction time",3402740,3402740,"This gives the interval between the cards being displayed and the participant pressing the snap-button to indicate a match. Note that the time is recorded regardless of whether the cards shown formed a matching pair. ~F401~ and ~F402~ need to be compared to determine if the cards were the same. <p>Each pair was displayed for 2 seconds, followed by a 1 second gap. If the button-press occurred during a gap then it was recorded against the previous pair, giving a value in the range 2001-2999ms."
630,"Touchscreen duration","deciseconds","Process durations",573409,573409,
699,"Length of time at current address","years","Household",573395,573395,"ACE touchscreen question ""How many years have you lived at your current address?""<p>The following checks were performed:<ul><li>If answer < 1 then rejected</li><li>If answer > Participants age then rejected</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you have lived there for less than one year select Less than a year.<br>If you are unsure, please provide an estimate or select Do not know.<br>If you have lived at your current address at different times, add up<br>the total number of years you lived there. For instance if you lived<br>at your current address for 3 years, moved overseas for one year and<br>returned to your current address for another 5 years, then you would<br>enter 8 years.<br></i></td></tr></table>"
709,"Number in household","people","Household",571911,571911,"ACE touchscreen question ""Including yourself, how many people are living together in your household? (Include those who usually live in the house such as students living away from home during term, partners in the armed forces or professions such as pilots)""<p>The following checks were performed:<ul><li>If answer < 1 then rejected</li><li>If answer > 100 then rejected</li><li>If answer > 12 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you live alone, enter 1.<br>Include those who usually live in the house such as students living away<br>from home during term, partners in the armed forces or professions such as<br>pilots.<br></i></td></tr></table><p>~F709~ was collected from all participants except those who indicated they were living in a sheltered accommodation or in a care home, as defined by their answers to ~F670~"
757,"Time employed in main current job","years","Employment",314942,314942,"ACE touchscreen question ""How many years have you worked in your current job? (If you have more than one job please answer this, and the following questions on work, for your MAIN job only)""<p>The following checks were performed:<ul><li>If answer < 1 then rejected</li><li>If answer > Participants age - 10 years then rejected</li><li>If answer > Participants age - 16 years then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you have more than one 'current job' then answer this question for your<br>MAIN job only (ie: the job that you spend most of your time doing).<br>If you have been with the same employer, but have changed jobs whilst you<br>have worked for them, then only give the number of years that you have been<br>in your current job (not the number of years that you have been employed by<br>the same company). For instance, if you have worked as mail-room sorter but<br>then been promoted to manager of the mail-room, please give the number of years<br>you have worked as the mail-room manager only.<br>If you have changed employers, but have had the same job, please give the total<br>number of years that you have worked in that job.  For instance, if you have<br>worked as a cleaner for 3 different companies, please give the total number of<br>years working as a cleaner.<br></i></td></tr></table><p>~F757~ was collected from all the participants who indicated they were in paid employment or self-employed, as defined by their answers to ~F6142~"
767,"Length of working week for main job","hours","Employment",314944,314944,"ACE touchscreen question ""In a typical WEEK, how many hours do you spend at work? (Do not include hours travelling to and from work)""<p>The following checks were performed:<ul><li>If answer > 160 then rejected</li><li>If answer < 1 then participant asked to confirm</li><li>If answer > 74 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you have more than one 'current job' then answer this question<br>for your MAIN job only.<br></i></td></tr></table><p>~F767~ was collected from all the participants who indicated they were in paid employment or self-employed, as defined by their answers to ~F6142~"
777,"Frequency of travelling from home to job workplace","times","Employment",312609,312609,"ACE touchscreen question ""How many times a WEEK do you travel from home to your main work? (count outward journeys only; put 0 if you always work from home)""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > 999 then rejected</li><li>If answer > 99 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If the number of times varies each week, take an average over the last 4 weeks.<br>If you only work from home please enter 0<br><br></i></td></tr></table><p>~F777~ was collected from the participants who indicated they were in paid employment or self-employed, as defined by their answers to ~F6142~"
796,"Distance between home and job workplace","miles","Employment",290577,290577,"ACE touchscreen question ""About how many miles is it between your home and your work? ""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > 9999 then rejected</li><li>If answer > 70 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you have more than one 'current job' then answer this question for your<br>MAIN job only.<br>If you are unsure, please provide an estimate or select Do not know.<br>If you only work from home please enter 0<br></i></td></tr></table><p>~F796~ was collected from participants who indicated they were in paid employment or self-employed, as defined by their answers to ~F6142~ and except those who indicated they always work from home, as defined by their answers to ~F6142~"
845,"Age completed full time education","years","Education",354358,354358,"ACE touchscreen question ""At what age did you complete your continuous full time education?""<p>The following checks were performed:<ul><li>If answer < 5 then rejected</li><li>If answer > Participants age then rejected</li><li>If answer > 40 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Please give the age that you completed 'continuous' full time education.<br>For example, if you stopped your studies when you were 17 years old with<br>the intention that you had completed your studies but then returned to<br>full time studies when you were 24, enter 17.<br>However if you only temporarily stopped your studies at 17 with the<br>intention that you would return to studies (for instance a gap year)<br>and then completed your full time education at 21, enter 21.<br></i></td></tr></table><p>~F845~ was collected from all participants except those who indicated they have a College or University degree, as defined by their answers to ~F6138~"
864,"Number of days/week walked 10+ minutes","days/week","Physical activity",573388,573388,"ACE touchscreen question ""In a typical WEEK, on how many days did you walk for at least 10 minutes at a time? (Include walking that you do at work, travelling to and from work, and for sport or leisure)""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > 7 then rejected</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Count the number of days in a week that you walk for at least 10 minutes<br>continuously at a time.<br></i></td></tr></table>"
874,"Duration of walks","minutes/day","Physical activity",548160,548160,"ACE touchscreen question ""How many minutes did you usually spend walking on a typical DAY?""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > 1440 then rejected</li><li>If answer < 10 then participant asked to confirm</li><li>If answer > 300 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Count the number of minutes that you usually spend walking in one day.<br>If the time you usually spend walking on each day of the week varies a<br>lot, give an average of the time you spend walking. For instance if on<br>one day of the week you usually walk for 4 hours but on the other day<br>you walk 2 hours then give the average - that is 3 hours.<br></i></td></tr></table><p>~F874~ was collected from participants who indicated that they walked for 10 minutes on at least 1 day per week in the previous 4 weeks, as defined by their answers to ~F864~"
884,"Number of days/week of moderate physical activity 10+ minutes","days/week","Physical activity",573384,573384,"ACE touchscreen question ""In a typical WEEK, on how many days did you do 10 minutes or more of moderate physical activities like carrying light loads, cycling at normal pace?  (Do not include walking)""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > 7 then rejected</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Count the number of days in a week that you do moderate physical activities<br>for at least 10 minutes continuously at a time. Remember to include activities<br>that you do for work, leisure, travel and around the house.<br></i></td></tr></table>"
894,"Duration of moderate activity","minutes/day","Physical activity",475181,475181,"ACE touchscreen question ""How many minutes did you usually spend doing moderate activities on a typical DAY?""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > 1440 then rejected</li><li>If answer < 10 then participant asked to confirm</li><li>If answer > 300 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If the time you usually spend doing moderate physical activity on each day<br>of the week varies a lot, give an average of the time you spend doing moderate<br>physical activity.<br></i></td></tr></table><p>~F894~ was collected from participants who indicated that they did moderate physical activities for 10 minutes on at least 1 day per week in the previous 4 weeks, as defined by their answers to question ~F884~"
904,"Number of days/week of vigorous physical activity 10+ minutes","days/week","Physical activity",573384,573384,"ACE touchscreen question ""In a typical WEEK, how many days did you do 10 minutes or more of vigorous physical activity? (These are activities that make you sweat or breathe hard such as fast cycling, aerobics, heavy lifting)""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > 7 then rejected</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Count the number of days in a week that you do vigorous physical activities for<br>at least 10 minutes continuously at a time. Remember to include activities that<br>you do for work, leisure, travel and around the house.<br></i></td></tr></table>"
914,"Duration of vigorous activity","minutes/day","Physical activity",342720,342720,"ACE touchscreen question ""How many minutes did you usually spend doing vigorous activities on a typical DAY?""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > 1440 then rejected</li><li>If answer < 10 then participant asked to confirm</li><li>If answer > 300 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If the time you usually spend doing vigorous physical activity on each day<br>of the week varies a lot, give an average of the time you spend doing vigorous<br>physical activity.<br></i></td></tr></table><p>This information was collected from participants who indicated that they did vigorous physical activities for 10 minutes on at least 1 day per week in the previous 4 weeks, as defined by their answers to ~F904~"
1050,"Time spend outdoors in summer","hours/day","Sun exposure",569610,569610,"ACE touchscreen question ""In a typical DAY in summer, how many hours do you spend outdoors?""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > 24 then rejected</li><li>If answer > 10 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If the time you spend outdoors in summer varies a lot, give the<br>average time per day. For example if you spend 1 hour a day on each<br>weekday and 4 hours a day on the weekend, the total hours in a week<br>is 13 (5 + 8), so you spend approximately 2 hours a day.<br></i></td></tr></table>"
1060,"Time spent outdoors in winter","hours/day","Sun exposure",569610,569610,"ACE touchscreen question ""In a typical DAY in winter, how many hours do you spend outdoors?""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > 24 then rejected</li><li>If answer > 10 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If the time you spend outdoors in winter varies a lot, give the<br>average time per day. For example if you spend 1 hour a day on each<br>weekday and 4 hours a day on the weekend, the total hours in a week<br>is 13 (5 + 8), so you spend approximately 2 hours a day.<br></i></td></tr></table>"
1070,"Time spent watching television (TV)","hours/day","Physical activity",573379,573379,"ACE touchscreen question ""In a typical DAY, how many hours do you spend watching TV? (Put 0 if you do not spend any time doing it)""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > 24 then rejected</li><li>If answer > 8 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If the time you spend watching TV varies a lot, give<br>the average time for a 24 hour day in the last 4 weeks.<br></i></td></tr></table>"
1080,"Time spent using computer","hours/day","Physical activity",569608,569608,"ACE touchscreen question ""In a typical DAY, how many hours do you spend using the computer? (Do not include using a computer at work; put 0 if you do not spend any time doing it)"" <p>The following checks were performed: <ul> <li>If answer < 0 then rejected</li> <li>If answer > 24 then rejected</li> <li>If answer > 6 then participant asked to confirm</li> </ul> <p>If the participant activated the Help button they were shown the message: <br> <table> <tr><td><i>If the time you spend on the computer varies a lot, give the average <br>time for a 24 hour day in the last 4 weeks. Remember not to include <br>time spent on a computer at work. <br></i></td></tr> </table> <p> This question was first asked in 2006 so needs to be interpreted in the light of technological development at that time when computers would generally mean either desktop or laptop PC systems. In 2019 the wording will be changed to<br>""In a typical DAY, how many hours do you spend using a computer/laptop, tablet or smartphone?"""
1090,"Time spent driving","hours/day","Physical activity",573136,573136,"ACE touchscreen question ""In a typical DAY, how many hours do you spend driving?""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > 24 then rejected</li><li>If answer > 6 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If the time you spend driving varies a lot, give the average time<br>for a 24 hour day in the last 4 weeks.<br>Include driving a car, bus, motorcycle, boat, truck etc.<br>Include all the driving that you do as part of work, getting to work<br>or outside of work.<br>If you do not drive please enter 0.<br></i></td></tr></table>"
1160,"Sleep duration","hours/day","Sleep",573375,573375,"ACE touchscreen question ""About how many hours sleep do you get in every 24 hours? (please include naps)""<p>The following checks were performed:<ul><li>If answer < 1 then rejected</li><li>If answer > 23 then rejected</li><li>If answer < 3 then participant asked to confirm</li><li>If answer > 12 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If the time you spend sleeping varies a lot, give the<br>average time for a 24 hour day in the last 4 weeks.<br></i></td></tr></table>"
1269,"Exposure to tobacco smoke at home","hours/week","Smoking",532838,532838,"ACE touchscreen question ""At home, about how many hours per WEEK are you exposed to other people's tobacco smoke?""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > 168 then rejected</li><li>If answer > 100 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Please give the number of hours in a typical week over the<br>last year that you have been exposed to other people's tobacco<br>smoke in the home environment.<br></i></td></tr></table><p>~F1269~ was collected from all participants except those who indicated they currently smoke tobacco on most or all days, as defined by their answers to ~F1239~"
1279,"Exposure to tobacco smoke outside home","hours/week","Smoking",532838,532838,"ACE touchscreen question ""Outside of your home, about how many hours per WEEK are you exposed to other people's tobacco smoke?""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > 168 then rejected</li><li>If answer > 100 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Please give the number of hours in a typical week over the<br>last year that you have been exposed to other people's tobacco<br>smoke in environments other than the home (include work, pubs,<br>restaurants etc).<br></i></td></tr></table><p>~F1279~ was collected from all participants except those who indicated they currently smoke tobacco on most or all days, as defined by their answers to ~F1239~"
1289,"Cooked vegetable intake","tablespoons/day","Diet",573369,573369,"ACE touchscreen question ""On average how many heaped tablespoons of COOKED vegetables would you eat per DAY? (Do not include potatoes; put '0' if you do not eat any)""<p>The following checks were performed:<ul><li>If answer > 50 then rejected</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Please provide an average considering your intake over the last year.<br>If you are unsure, please provide an estimate or select Do not know.<br>If you have less than one tablespoon a day select Less than one.<br></i></td></tr></table>"
1299,"Salad / raw vegetable intake","tablespoons/day","Diet",573369,573369,"ACE touchscreen question ""On average how many heaped tablespoons of SALAD or RAW vegetables would you eat per DAY? (Include lettuce, tomato in sandwiches; put '0' if you do not eat any)""<p>The following checks were performed:<ul><li>If answer > 50 then rejected</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Please provide an average considering your intake over the last year.<br>If you are unsure, please provide an estimate or select Do not know.<br>If you have less than one tablespoon a day select Less than one.<br></i></td></tr></table>"
1309,"Fresh fruit intake","pieces/day","Diet",573369,573369,"ACE touchscreen question ""About how many pieces of FRESH fruit would you eat per DAY? (Count one apple, one banana, 10 grapes etc as one piece; put '0' if you do not eat any)""<p>The following checks were performed:<ul><li>If answer > 50 then rejected</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Please provide an average considering your intake over the last year.<br>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table>"
1319,"Dried fruit intake","pieces/day","Diet",573368,573368,"ACE touchscreen question ""About how many pieces of DRIED fruit would you eat per DAY? (Count one prune, one dried apricot, 10 raisins as one piece; put '0' if you do not eat any)""<p>The following checks were performed:<ul><li>If answer > 100 then rejected</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Please provide an average considering your intake over the last year.<br>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table>"
1438,"Bread intake","slices/week","Diet",569595,569595,"ACE touchscreen question ""How many slices of bread do you eat each WEEK?""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > 250 then rejected</li><li>If answer > 50 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>For other types of bread:<br> - one bread roll = 2 slices<br> - one pitta bread = 2 slices<br><br></i></td></tr></table>"
1458,"Cereal intake","bowls/week","Diet",573248,573248,"ACE touchscreen question ""How many bowls of cereal do you eat a WEEK?""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > 99 then rejected</li><li>If answer > 14 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Please provide an average considering your intake over the last year.<br>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table>"
1488,"Tea intake","cups/day","Diet",573365,573365,"ACE touchscreen question ""How many cups of tea do you drink each DAY? (Include black and green tea)""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > 99 then rejected</li><li>If answer > 20 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Please provide an average considering your intake over the last year.<br>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table>"
1498,"Coffee intake","cups/day","Diet",573365,573365,"ACE touchscreen question ""How many cups of coffee do you drink each DAY? (Include decaffeinated coffee)""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > 99 then rejected</li><li>If answer > 10 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Please provide an average considering your intake over the last year.<br>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table>"
1528,"Water intake","glasses/day","Diet",573365,573365,"ACE touchscreen question ""How many glasses of water do you drink each DAY? ""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > 99 then rejected</li><li>If answer > 10 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Please provide an average considering your intake over the last year.<br>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table>"
1568,"Average weekly red wine intake","glasses","Alcohol",397703,397703,"ACE touchscreen question ""In an average WEEK, how many glasses of RED wine would you drink? (There are six glasses in an average bottle)""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > 250 then rejected</li><li>If answer > 100 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Please include sparkling red wine here.<br></i></td></tr></table><p>~F1568~ was collected from participants who indicated they drink alcohol more often than once or twice a week, as defined by their answers to ~F1558~"
1578,"Average weekly champagne plus white wine intake","glasses","Alcohol",397702,397702,"ACE touchscreen question ""In an average WEEK, how many glasses of WHITE wine or champagne would you drink? (There are six glasses in an average bottle)""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > 250 then rejected</li><li>If answer > 100 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Please include sparkling white wine here.<br></i></td></tr></table><p>~F1578~ was collected from participants who indicated they drink alcohol more often than once or twice a week, as defined by their answers to ~F1558~"
1588,"Average weekly beer plus cider intake","pints","Alcohol",397702,397702,"ACE touchscreen question ""In an average WEEK, how many pints of beer or cider would you drink? (Include bitter, lager, stout, ale, Guinness)"" <p>The following checks were performed: <ul> <li>If answer < 0 then rejected</li> <li>If answer > 250 then rejected</li> <li>If answer > 100 then participant asked to confirm</li> </ul> <p>~F1588~ was collected from participants who indicated they drink alcohol more often than one to three times per month, as defined by their answers to ~F1558~"
1598,"Average weekly spirits intake","measures","Alcohol",397702,397702,"ACE touchscreen question ""In an average WEEK, how many measures of spirits or liqueurs would you drink? (there are 25 standard measures in a normal sized bottle;  spirits include drinks such as whisky, gin, rum, vodka, brandy)""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > 250 then rejected</li><li>If answer > 100 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>For mixed drinks that contain spirits or liqueurs, count one bottle<br>as one measure. There is a question later on alcopops<br></i></td></tr></table><p>~F1598~ was collected from participants who indicated they drink alcohol more often than once or twice a week, as defined by their answers to ~F1558~"
1608,"Average weekly fortified wine intake","glasses","Alcohol",397702,397702,"ACE touchscreen question ""In an average WEEK, how many glasses of fortified wine would you drink? (There are 12 glasses in an average bottle) (Fortified wines include drinks such as sherry, port, vermouth)""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > 250 then rejected</li><li>If answer > 100 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Fortified wines include: Sherry, Port, Vermouth, Muscat,<br>Madeira, Malaga, Tokay, Frontignan, Frontignac.<br></i></td></tr></table><p>~F1608~ was collected from participants who indicated they drink alcohol more often than once or twice a week, as defined by their answers to ~F1558~"
1737,"Childhood sunburn occasions","times","Sun exposure",529842,529842,"ACE touchscreen question ""Before the age of 15, how many times did you suffer sunburn that was painful for at least 2 days or caused blistering?"" <p>The following checks were performed: <ul> <li>If answer < 0 then rejected</li> <li>If answer > 999 then rejected</li> <li>If answer > 20 then participant asked to confirm</li> </ul> <p>If the participant activated the Help button they were shown the message: <br> <table> <tr><td><i>If you are unsure, please provide an estimate or select Do not know. <br></i></td></tr> </table> <br>This question was dropped from the touchscreen protocol on 24/10/2016."
1807,"Father's age at death","years","Family history",439271,439271,"ACE touchscreen question ""What was his age when he died?""<p>The following checks were performed:<ul><li>If answer < 10 then rejected</li><li>If answer > 122 then rejected</li><li>If answer < 15 then participant asked to confirm</li><li>If answer > 105 then participant asked to confirm</li></ul><p>~F1807~ was collected from participants who indicated their father has died, as defined by their answers to ~F1797~ or, if they are adopted, their adopted father has died, as defined by their answers to ~F1797~"
1845,"Mother's age","years","Family history",218191,218191,"ACE touchscreen question ""What is her age now?""<p>The following checks were performed:<ul><li>If answer < Participants age + 10 years then rejected</li><li>If answer > 122 then rejected</li><li>If answer < Participants age + 14 years then participant asked to confirm</li><li>If answer > 105 then participant asked to confirm</li></ul><p>~F1845~ was collected from participants who indicated their mother is still alive, as defined by their answers to ~F1835~ or, if they are adopted, their adopted mother is still alive, as defined by their answers to ~F1835~"
1873,"Number of full brothers",,"Family history",565045,565045,"ACE touchscreen question ""How many brothers do you have? (Please include those who have died, and twin brothers. Do not include half-brothers, step-brothers or adopted brothers)""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > 25 then rejected</li><li>If answer > 10 then participant asked to confirm</li></ul><p>~F1873~ was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~"
1883,"Number of full sisters",,"Family history",565045,565045,"ACE touchscreen question ""How many sisters do you have? (Please include those who have died, and twin sisters. Do not include half-sisters, step-sisters or adopted sisters)""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > 25 then rejected</li><li>If answer > 10 then participant asked to confirm</li></ul><p>~F1883~ was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~"
