field_id,field_name,unit_name,notes,category_name,item_count
20008,Interpolated Year when non-cancer illness first diagnosed,years,This is the interpolated time when the participant indicated the corresponding condition was first diagnosed by a doctor, measured in years. <ul> <li>If the participant gave a calendar year, then the best-fit time is half-way through that year. For example if the year was given as 1970, then the value presented is 1970.5</li> <li>If the participant gave their age then the value presented is the fractional year corresponding to the mid-point of that age. For example, if the participant said they were 30 years old then the value is the date at which they were 30years+6months. <li>Interpolated values before the date of birth were truncated forwards to that time.</li> <li>Interpolated values after the time of data acquisition were truncated back to that time.</li> </ul>,Medical conditions,1127387
20009,Interpolated Age of participant when non-cancer illness first diagnosed,years,This is the interpolated time when the participant indicated the corresponding condition was first diagnosed by a doctor, given as their estimated age. <ul> <li>If the participant gave a calendar year, then the best-fit time is their age at the mid-point of that year. For example if the year was given as 1970, and the participant was born on 1 April 1950, then their age on 1st July 1970 is 20.25</li> then the value presented is 1970.5</li> <li>If the participant gave their age then the value presented is the fractional year corresponding to the mid-point of that age. For example, if the participant said they were 30 years old then the value is 30.5 <li>Interpolated values before the date of birth were truncated forwards to that time.</li> <li>Interpolated values after the time of data acquisition were truncated back to that time.</li> </ul>,Medical conditions,1127387
20010,Interpolated Year when operation took place,years,This is the year when the participant indicated the operation took place.,Operations,994314
30000,White blood cell (leukocyte) count,10^9 cells/Litre,"Result of ""White Blood Cell Count"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. White blood count is the number of leukocytes. <p> Analyser operating range was 0 to 9x10^11 cells/Litre. <p> Typical reference range is 3.5x10^9 to 9.6x10^9 cells/Litre.",Blood count,503430
30010,Red blood cell (erythrocyte) count,10^12 cells/Litre,"Result of ""Red Blood Cell Count"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Red blood cells is the number of erythrocytes. <p> Analyser operating range was 0 to 2x10^13 cells/Litre. <p> Typical reference range is 3.9x10^12 to 5.5x10^12 cells/Litre.",Blood count,503434
30020,Haemoglobin concentration,grams/decilitre,"Result of ""Haemoglobin Concentration"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. <p> Analyser operating range was 0 to 99.9g/dL <p> Typical reference range is 12.1 to 16.3g/dL",Blood count,503436
30030,Haematocrit percentage,percent,"Result of ""Haematocrit"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Haematocrit Percentage is the relative volume of packed erythrocytes to whole blood, computed by the formula: (red blood cells x mean corpuscular volume) / 10. <p> Analyser operating range was 0 to 99.9% <p> Typical reference range is 35.4 to 47.2%",Blood count,503436
30040,Mean corpuscular volume,femtolitres,"Result of ""Mean Corpuscular Volume"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Mean Corpuscular Haemoglobin Concentration (pg) is the weight of hemoglobin in the average erythrocyte, computed by the formula: MCH = (hemoglobin/red blood cells) x 10.",Blood count,503434
30050,Mean corpuscular haemoglobin,picograms,"Result of ""Mean Corpuscular Haemoglobin"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit.",Blood count,503430
30060,Mean corpuscular haemoglobin concentration,grams/decilitre,"Result of ""Mean Corpuscular Haemoglobin Concentration"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Mean Corpuscular Haemoglobin Concentration (g/dL) is the average weight of haemoglobin in a measured dilution, computed by the formula: (haemoglobin/haematocrit) x 100.",Blood count,503426
30070,Red blood cell (erythrocyte) distribution width,percent,"Result of ""Red Distribution Width"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Red blood cell Distribution Width is the size distribution spread of the erythrocyte population derived from the red blood cell histogram. It is the coefficient of variation (CV) expressed in % of the red blood cell size distribution.",Blood count,503434
30080,Platelet count,10^9 cells/Litre,"Result of ""Platelet Count"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Platelet count is the number of thrombocytes derived from the platelet histogram.",Blood count,503433
30090,Platelet crit,percent,"Result of ""Platelet Crit"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Platelet Crit is a computed value that represents the platelet packed cell volume.",Blood count,497759
30100,Mean platelet (thrombocyte) volume,femtolitres,"Result of ""Mean Platelet Volume"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Mean Platelet Volume is the average volume of individual platelets derived from the platelet histogram.",Blood count,503426
30110,Platelet distribution width,percent,"Result of ""Platelet Distribution Width"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Platelet Distribution Width is the coefficient of variation of platelet size.",Blood count,497758
30120,Lymphocyte count,10^9 cells/Litre,"Result of ""Lymphocytes Number"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Lymphocyte count is the proportion of ( lymphoctyes / 100 ) x white blood cell count",Blood count,502528
30130,Monocyte count,10^9 cells/Litre,"Result of ""Monocytes Number"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Monocyte count is the proportion of ( monoctyes / 100 ) x white blood cell count.",Blood count,502528
30140,Neutrophill count,10^9 cells/Litre,"Result of ""Neutrophils Number"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Neutrophils count is the proportion of ( neutrophils / 100 ) x white blood cell count.",Blood count,502528
30150,Eosinophill count,10^9 cells/Litre,"Result of ""Eosinophils Number"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Eosinophils count is the proportion of ( eosinophils / 100 ) x white blood cell count.",Blood count,502528
30160,Basophill count,10^9 cells/Litre,"Result of ""Basophils Number"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Basophils count is the proportion of ( basophils / 100 ) x white blood cell count.",Blood count,502528
30170,Nucleated red blood cell count,10^9 cells/Litre,"Result of ""Nucleated Red Blood Cells Number"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Nucleated Red Blood Cells count is calculated as: Nucleated Red Blood Cells (percentage) x white blood cell count .",Blood count,496838
30180,Lymphocyte percentage,percent,"Result of ""Lymphocytes Percentage"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Lymphocytes (Percentage) is calculated as the proportion of lymphocytes in the leukocytes.",Blood count,502535
30190,Monocyte percentage,percent,"Result of ""Monocytes Percentage"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Monocytes (percentage) is calculated as the proportion of monocytes in the leukocytes.",Blood count,502535
30200,Neutrophill percentage,percent,"Result of ""Neutrophils Percentage"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Neutrophils (Percentage) is calculated as the proportion of neutrophils in the leukocytes.",Blood count,502535
30210,Eosinophill percentage,percent,"Result of ""Eosinophils Percentage"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Eosinophils (Percentage) is calculated as the proportion of eosinophils in the leukocytes.",Blood count,502535
30220,Basophill percentage,percent,"Result of ""Basophils Percentage"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Basophils (Percentage) is calculated as the proportion of basophils in the leukocytes.",Blood count,502535
30230,Nucleated red blood cell percentage,percent,"Result of ""Nucleated Red Blood Cells Percentage"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Nucleated Red Blood Cells (Percentage) is defined as the number of nucleated red blood cells per 100 white blood cells.",Blood count,496834
30240,Reticulocyte percentage,percent,"Result of ""Reticulocytes Percentage"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Reticulocytes (Percentage) is the number of reticulocytes as a percentage of red blood cells.",Blood count,494699
30250,Reticulocyte count,10^12 cells/Litre,"Result of ""Reticulocytes Number"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Reticulocytes count is computed from the reticulocyte per cent multiplied by the red blood cell count.",Blood count,494700
30260,Mean reticulocyte volume,femtolitres,"Result of ""Mean Reticulocytes Volume"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Mean Reticulocytes volume is the average volume of all reticulocytes, calculated from the reticulocytes (percentage).",Blood count,494700
30270,Mean sphered cell volume,femtolitres,"Result of ""Mean Sphered Cells Volume"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit.",Blood count,489131
30280,Immature reticulocyte fraction,ratio,"Result of ""Immature Reticulocytes Fraction"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Immature Reticulocytes Fraction (Percentage) is an indication of new reticulocyte synthesis and is calculated from the reticulocytes (Percentage) as the total number of reticulocyte events in the outermost light scattering region, corresponding to immature reticulocytes, relative to the total number of reticulocytes and is reported as this ratio.",Blood count,489129
30290,High light scatter reticulocyte percentage,percent,"Result of ""High Light Scatter Reticulocytes Percentage"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. High Light Scatter Reticulocytes (Percentage) is computed as: (HLR / Total Erythrocytes) x 100.",Blood count,489131
30300,High light scatter reticulocyte count,10^12 cells/Litre,"Result of ""High Light Scatter Reticulocytes Number"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. High Light Scatter Reticulocytes Count is calculated as: (HLR / Total Erythrocytes) x red blood cells",Blood count,489130
30500,Microalbumin in urine,mg/L,Measured by immunoturbidimetric analysis on a Beckman Coulter AU5400.,Urine assays,159401
30510,Creatinine (enzymatic) in urine,micromole/L,Measured by enzymatic analysis on a Beckman Coulter AU5400.,Urine assays,503632
30520,Potassium in urine,millimole/L,Measured by ISE (ion selective electrode) analysis on a Beckman Coulter AU5400.,Urine assays,502580
30530,Sodium in urine,millimole/L,Measured by ISE (ion selective electrode) analysis using Beckman Coulter AU5400.,Urine assays,502562
30600,Albumin,g/L,Measured by BCG analysis on a Beckman Coulter AU5800,Blood biochemistry,445758
30610,Alkaline phosphatase,U/L,Measured by AMP(IFCC) analysis on a Beckman Coulter AU5800,Blood biochemistry,487460
30620,Alanine aminotransferase,U/L,Measured by IFCC analysis on a Beckman Coulter AU5800,Blood biochemistry,487253
30630,Apolipoprotein A,g/L,Measured by immunoturbidimetric analysis on a Beckman Coulter AU5800,Blood biochemistry,443067
30640,Apolipoprotein B,g/L,Measured by immunoturbidimetric analysis on a Beckman Coulter AU5800,Blood biochemistry,484985
30650,Aspartate aminotransferase,U/L,Measured by IFCC analysis on a Beckman Coulter AU5800,Blood biochemistry,485589
30660,Direct bilirubin,umol/L,Measured by DPD analysis on a Beckman Coulter AU5800,Blood biochemistry,413651
30670,Urea,mmol/L,Measured by GLDH, kinetic analysis on a Beckman Coulter AU5800,Blood biochemistry,487110
30680,Calcium,mmol/L,Measured by Arsenazo III analysis on a Beckman Coulter AU5800,Blood biochemistry,445607
30690,Cholesterol,mmol/L,Measured by CHO-POD analysis on a Beckman Coulter AU5800,Blood biochemistry,487454
30700,Creatinine,umol/L,Measured by enzymatic analysis on a Beckman Coulter AU5800,Blood biochemistry,487188
30710,C-reactive protein,mg/L,Measured by immunoturbidimetric - high sensitivity analysis on a Beckman Coulter AU5800,Blood biochemistry,486393
30720,Cystatin C,mg/L,Measured by latex enhanced immunoturbidimetric analysis on a Siemens ADVIA 1800,Blood biochemistry,487410
30730,Gamma glutamyltransferase,U/L,Measured by IFCC analysis on a Beckman Coulter AU5800,Blood biochemistry,487193
30740,Glucose,mmol/L,Measured by hexokinase analysis on a Beckman Coulter AU5800,Blood biochemistry,445241
30750,Glycated haemoglobin (HbA1c),mmol/mol,Measured by HPLC analysis on a Bio-Rad VARIANT II Turbo,Blood biochemistry,480759
30760,HDL cholesterol,mmol/L,Measured by enzyme immunoinhibition analysis on a Beckman Coulter AU5800,Blood biochemistry,445551
30770,IGF-1,nmol/L,Measured by CLIA analysis on a DiaSorin Ltd. LIASON XL,Blood biochemistry,484727
30780,LDL direct,mmol/L,Measured by enzymatic protective selection analysis on a Beckman Coulter AU5800,Blood biochemistry,486531
30790,Lipoprotein A,nmol/L,Measured by immunoturbidimetric analysis on a Randox AU5800. Values for Lipoprotein A that were outside the reportable range are available on request.,Blood biochemistry,389853
30800,Oestradiol,pmol/L,Measured by two step competitive analysis on a Beckman Coulter Unicel Dxl 800,Blood biochemistry,78534
30810,Phosphate,mmol/L,Measured by phophomolybdate complex analysis on a Beckman Coulter AU5800,Blood biochemistry,444889
30820,Rheumatoid factor,IU/ml,Measured by immunoturbidimetric analysis on a Beckman Coulter AU5800,Blood biochemistry,42997
30830,SHBG,nmol/L,Measured by two step sandwich immunoassay analysis on a Beckman Coulter Unicel Dxl 800,Blood biochemistry,441293
30840,Total bilirubin,umol/L,Measured by photometric colour analysis on a Beckman Coulter AU5800,Blood biochemistry,485323
30850,Testosterone,nmol/L,Measured by one step competitive analysis on a Beckman Coulter Unicel Dxl 800,Blood biochemistry,441237
30860,Total protein,g/L,Measured by biuret analysis on a Beckman Coulter AU5800,Blood biochemistry,445277
30870,Triglycerides,mmol/L,Measured by GPO-POD analysis on a Beckman Coulter AU5800,Blood biochemistry,487046
30880,Urate,umol/L,Measured by uricase PAP analysis on a Beckman Coulter AU5800,Blood biochemistry,486842
30890,Vitamin D,nmol/L,Measured by CLIA analysis on a DiaSorin Ltd. LIASON XL,Blood biochemistry,465377
30897,Estimated sample dilution factor,factor,Average estimated dilution factor across assays.,Blood biochemistry processing,485024
40007,Age at death,years,Age calculated as interval between Date of Birth and Death.,Death register,30263
40008,Age at cancer diagnosis,NA,Age calculated as interval between Dates of Birth and Cancer diagnosis.,Cancer register,118715
