"field_id","field_name","unit_name","category_name","item_count","priority","notes"
3546,"Age last used hormone-replacement therapy (HRT)","years","Female-specific factors",118041,1118041,"ACE touchscreen question ""How old were you when you last used HRT?""<p>The following checks were performed:<ul><li>If answer < 20 then rejected</li><li>If answer > Participants age then rejected</li><li>If answer < 35 then participant asked to confirm</li><li>If answer > 65 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are currently using HRT select Still taking HRT.<br>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F3546~ was collected from women who indicated that they had used HRT, as defined by their answers to ~F2814~"
3786,"Age asthma diagnosed","years","Medical conditions",65747,1065747,"ACE touchscreen question ""What was your age when the asthma was first diagnosed?""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > Participants age then rejected</li><li>If answer < 10 then participant asked to confirm</li><li>If answer > 69 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F3786~ was collected from participants who indicated they were told by a doctor that they have had asthma, as defined by their answers to ~F6152~"
3894,"Age heart attack diagnosed","years","Medical conditions",13191,1013191,"ACE touchscreen question ""What was your age when the heart attack was first diagnosed?""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > Participants age then rejected</li><li>If answer < 40 then participant asked to confirm</li><li>If answer > 69 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F3894~ was collected from participants who indicated they were told by a doctor that they have had a heart attack, as defined by their answers to ~F6150~"
3992,"Age emphysema/chronic bronchitis diagnosed","years","Medical conditions",9112,1009112,"ACE touchscreen question ""What was your age when the emphysema/chronic bronchitis was first diagnosed?""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > Participants age then rejected</li><li>If answer < 40 then participant asked to confirm</li><li>If answer > 69 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F3992~ was collected from participants who indicated they were told by a doctor that they have had emphysema or chronic bronchitis, as defined by their answers to ~F6152~"
4012,"Age deep-vein thrombosis (DVT, blood clot in leg) diagnosed","years","Medical conditions",11208,1011208,"ACE touchscreen question ""What was your age when the blood clot in the leg (DVT) was first diagnosed?""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > Participants age then rejected</li><li>If answer < 40 then participant asked to confirm</li><li>If answer > 69 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F4012~ was collected from participants who indicated they were told by a doctor that they have had a Blood clot in the leg (DVT) , as defined by their answers to ~F6152~"
4022,"Age pulmonary embolism (blood clot in lung) diagnosed","years","Medical conditions",4687,1004687,"ACE touchscreen question ""What was your age when the blood clot in the lung was first diagnosed?""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > Participants age then rejected</li><li>If answer < 40 then participant asked to confirm</li><li>If answer > 69 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F4022~ was collected from participants who indicated they were told by a doctor that they have had a blood clot in the lung , as defined by their answers to ~F6152~"
4056,"Age stroke diagnosed","years","Medical conditions",8711,1008711,"ACE touchscreen question ""What was your age when the stroke was first diagnosed?""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > Participants age then rejected</li><li>If answer < 40 then participant asked to confirm</li><li>If answer > 69 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F4056~ was collected from participants who indicated they were told by a doctor that they have had a stroke, as defined by their answers to ~F6150~"
4079,"Diastolic blood pressure, automated reading","mmHg","Blood pressure",1052519,2052519,"Blood pressure, automated reading, diastolic. Two measures of blood pressure were taken a few moments apart. <p>Range returned by the Omron device is is 0-255"
4080,"Systolic blood pressure, automated reading","mmHg","Blood pressure",1052489,2052489,"Blood pressure, automated reading, systolic. Two measures of blood pressure were taken a few moments apart. <p> Range returned by the Omron device is is 0-255"
4194,"Pulse rate","bpm","Arterial stiffness",234837,1234837,"Pulse rate during arterial stiffness measurement"
4689,"Age glaucoma diagnosed","years","Eyesight",4722,1004722,"ACE touchscreen question ""What was your age when glaucoma was first diagnosed?""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > Participants age then rejected</li><li>If answer < 40 then participant asked to confirm</li><li>If answer > 69 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F4689~ was collected from participants who indicated they have glaucoma, as defined by their answers to ~F6148~"
4700,"Age cataract diagnosed","years","Eyesight",16384,1016384,"ACE touchscreen question ""What was your age when a cataract was first diagnosed?""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > Participants age then rejected</li><li>If answer < 40 then participant asked to confirm</li><li>If answer > 69 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F4700~ was collected from participants who indicated they have cataract, as defined by their answers to ~F6148~"
20006,"Interpolated Year when cancer first diagnosed","years","Medical conditions",53317,1053317,"This is the interpolated time when the participant indicated the corresponding cancer was first diagnosed by a doctor, measured in years. <ul> <li>If the participant gave a calendar year, then the best-fit time is half-way through that year. For example if the year was given as 1970, then the value presented is 1970.5</li> <li>If the participant gave their age then the value presented is the fractional year corresponding to the mid-point of that age. For example, if the participant said they were 30 years old then the value is the date at which they were 30years+6months. <li>Interpolated values before the date of birth were truncated forwards to that time.</li> <li>Interpolated values after the time of data acquisition were truncated back to that time.</li> </ul>"
20007,"Interpolated Age of participant when cancer first diagnosed","years","Medical conditions",53317,1053317,"This is the interpolated time when the participant indicated the corresponding cancer was first diagnosed by a doctor, given as their estimated age. <ul> <li>If the participant gave a calendar year, then the best-fit time is their age at the mid-point of that year. For example if the year was given as 1970, and the participant was born on 1 April 1950, then their age on 1st July 1970 is 20.25</li> then the value presented is 1970.5</li> <li>If the participant gave their age then the value presented is the fractional year corresponding to the mid-point of that age. For example, if the participant said they were 30 years old then the value is 30.5 <li>Interpolated values before the date of birth were truncated forwards to that time.</li> <li>Interpolated values after the time of data acquisition were truncated back to that time.</li> </ul>"
20008,"Interpolated Year when non-cancer illness first diagnosed","years","Medical conditions",1125831,2125831,"This is the interpolated time when the participant indicated the corresponding condition was first diagnosed by a doctor, measured in years. <ul> <li>If the participant gave a calendar year, then the best-fit time is half-way through that year. For example if the year was given as 1970, then the value presented is 1970.5</li> <li>If the participant gave their age then the value presented is the fractional year corresponding to the mid-point of that age. For example, if the participant said they were 30 years old then the value is the date at which they were 30years+6months. <li>Interpolated values before the date of birth were truncated forwards to that time.</li> <li>Interpolated values after the time of data acquisition were truncated back to that time.</li> </ul>"
20009,"Interpolated Age of participant when non-cancer illness first diagnosed","years","Medical conditions",1125831,2125831,"This is the interpolated time when the participant indicated the corresponding condition was first diagnosed by a doctor, given as their estimated age. <ul> <li>If the participant gave a calendar year, then the best-fit time is their age at the mid-point of that year. For example if the year was given as 1970, and the participant was born on 1 April 1950, then their age on 1st July 1970 is 20.25</li> then the value presented is 1970.5</li> <li>If the participant gave their age then the value presented is the fractional year corresponding to the mid-point of that age. For example, if the participant said they were 30 years old then the value is 30.5 <li>Interpolated values before the date of birth were truncated forwards to that time.</li> <li>Interpolated values after the time of data acquisition were truncated back to that time.</li> </ul>"
20010,"Interpolated Year when operation took place","years","Operations",993527,1993527,"This is the year when the participant indicated the operation took place."
30000,"White blood cell (leukocyte) count","10^9 cells/Litre","Blood count",503445,1503445,"Result of ""White Blood Cell Count"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. White blood count is the number of leukocytes. <p> Analyser operating range was 0 to 9x10^11 cells/Litre. <p> Typical reference range is 3.5x10^9 to 9.6x10^9 cells/Litre."
30001,"White blood cell (leukocyte) count freeze-thaw cycles",,"Blood count processing",474895,1474895,"Number of freeze-thaw cycles sample went through before ""White Blood Cell Count"" assay was performed (blood sample obtained from UK Biobank assessment centre visit)."
30010,"Red blood cell (erythrocyte) count","10^12 cells/Litre","Blood count",503449,1503449,"Result of ""Red Blood Cell Count"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Red blood cells is the number of erythrocytes. <p> Analyser operating range was 0 to 2x10^13 cells/Litre. <p> Typical reference range is 3.9x10^12 to 5.5x10^12 cells/Litre."
30011,"Red blood cell (erythrocyte) count freeze-thaw cycles",,"Blood count processing",474900,1474900,"Number of freeze-thaw cycles sample went through before ""Red Blood Cell Count"" assay was performed (blood sample obtained from UK Biobank assessment centre visit)."
30020,"Haemoglobin concentration","grams/decilitre","Blood count",503451,1503451,"Result of ""Haemoglobin Concentration"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. <p> Analyser operating range was 0 to 99.9g/dL <p> Typical reference range is 12.1 to 16.3g/dL"
30021,"Haemoglobin concentration freeze-thaw cycles",,"Blood count processing",474900,1474900,"Number of freeze-thaw cycles sample went through before ""Haemoglobin Concentration"" assay was performed (blood sample obtained from UK Biobank assessment centre visit)."
30030,"Haematocrit percentage","percent","Blood count",503451,1503451,"Result of ""Haematocrit"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Haematocrit Percentage is the relative volume of packed erythrocytes to whole blood, computed by the formula: (red blood cells x mean corpuscular volume) / 10. <p> Analyser operating range was 0 to 99.9% <p> Typical reference range is 35.4 to 47.2%"
30031,"Haematocrit freeze-thaw cycles",,"Blood count processing",474900,1474900,"Number of freeze-thaw cycles sample went through before ""Haematocrit"" assay was performed (blood sample obtained from UK Biobank assessment centre visit)."
30040,"Mean corpuscular volume","femtolitres","Blood count",503449,1503449,"Result of ""Mean Corpuscular Volume"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Mean Corpuscular Haemoglobin Concentration (pg) is the weight of hemoglobin in the average erythrocyte, computed by the formula: MCH = (hemoglobin/red blood cells) x 10."
30041,"Mean corpuscular volume freeze-thaw cycles",,"Blood count processing",474898,1474898,"Number of freeze-thaw cycles sample went through before ""Mean Corpuscular Volume"" assay was performed (blood sample obtained from UK Biobank assessment centre visit)."
30050,"Mean corpuscular haemoglobin","picograms","Blood count",503445,1503445,"Result of ""Mean Corpuscular Haemoglobin"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit."
30051,"Mean corpuscular haemoglobin freeze-thaw cycles",,"Blood count processing",474897,1474897,"Number of freeze-thaw cycles sample went through before ""Mean Corpuscular Haemoglobin"" assay was performed (blood sample obtained from UK Biobank assessment centre visit)."
30060,"Mean corpuscular haemoglobin concentration","grams/decilitre","Blood count",503441,1503441,"Result of ""Mean Corpuscular Haemoglobin Concentration"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Mean Corpuscular Haemoglobin Concentration (g/dL) is the average weight of haemoglobin in a measured dilution, computed by the formula: (haemoglobin/haematocrit) x 100."
30061,"Mean corpuscular haemoglobin concentration freeze-thaw cycles",,"Blood count processing",474893,1474893,"Number of freeze-thaw cycles sample went through before ""Mean Corpuscular Haemoglobin Concentration"" assay was performed (blood sample obtained from UK Biobank assessment centre visit)."
30070,"Red blood cell (erythrocyte) distribution width","percent","Blood count",503449,1503449,"Result of ""Red Distribution Width"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Red blood cell Distribution Width is the size distribution spread of the erythrocyte population derived from the red blood cell histogram. It is the coefficient of variation (CV) expressed in % of the red blood cell size distribution."
30071,"Red blood cell (erythrocyte) distribution width freeze-thaw cycles",,"Blood count processing",474898,1474898,"Number of freeze-thaw cycles sample went through before ""Red Distribution Width"" assay was performed (blood sample obtained from UK Biobank assessment centre visit)."
30080,"Platelet count","10^9 cells/Litre","Blood count",503448,1503448,"Result of ""Platelet Count"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Platelet count is the number of thrombocytes derived from the platelet histogram."
30081,"Platelet count freeze-thaw cycles",,"Blood count processing",474897,1474897,"Number of freeze-thaw cycles sample went through before ""Platelet Count"" assay was performed (blood sample obtained from UK Biobank assessment centre visit)."
30090,"Platelet crit","percent","Blood count",497774,1497774,"Result of ""Platelet Crit"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Platelet Crit is a computed value that represents the platelet packed cell volume."
30091,"Platelet crit freeze-thaw cycles",,"Blood count processing",474893,1474893,"Number of freeze-thaw cycles sample went through before ""Platelet Crit"" assay was performed (blood sample obtained from UK Biobank assessment centre visit)."
30100,"Mean platelet (thrombocyte) volume","femtolitres","Blood count",503441,1503441,"Result of ""Mean Platelet Volume"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Mean Platelet Volume is the average volume of individual platelets derived from the platelet histogram."
30101,"Mean platelet (thrombocyte) volume freeze-thaw cycles",,"Blood count processing",474892,1474892,"Number of freeze-thaw cycles sample went through before ""Mean Platelet Volume"" assay was performed (blood sample obtained from UK Biobank assessment centre visit)."
30110,"Platelet distribution width","percent","Blood count",497773,1497773,"Result of ""Platelet Distribution Width"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Platelet Distribution Width is the coefficient of variation of platelet size."
30111,"Platelet distribution width freeze-thaw cycles",,"Blood count processing",474892,1474892,"Number of freeze-thaw cycles sample went through before ""Platelet Distribution Width"" assay was performed (blood sample obtained from UK Biobank assessment centre visit)."
30120,"Lymphocyte count","10^9 cells/Litre","Blood count",502543,1502543,"Result of ""Lymphocytes Number"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Lymphocyte count is the proportion of ( lymphoctyes / 100 ) x white blood cell count"
30121,"Lymphocyte count freeze-thaw cycles",,"Blood count processing",474013,1474013,"Number of freeze-thaw cycles sample went through before ""Lymphocytes Number"" assay was performed (blood sample obtained from UK Biobank assessment centre visit)."
30130,"Monocyte count","10^9 cells/Litre","Blood count",502543,1502543,"Result of ""Monocytes Number"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Monocyte count is the proportion of ( monoctyes / 100 ) x white blood cell count."
30131,"Monocyte count freeze-thaw cycles",,"Blood count processing",474007,1474007,"Number of freeze-thaw cycles sample went through before ""Monocytes Number"" assay was performed (blood sample obtained from UK Biobank assessment centre visit)."
30140,"Neutrophill count","10^9 cells/Litre","Blood count",502543,1502543,"Result of ""Neutrophils Number"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Neutrophils count is the proportion of ( neutrophils / 100 ) x white blood cell count."
30141,"Neutrophill count freeze-thaw cycles",,"Blood count processing",474013,1474013,"Number of freeze-thaw cycles sample went through before ""Neutrophils Number"" assay was performed (blood sample obtained from UK Biobank assessment centre visit)."
30150,"Eosinophill count","10^9 cells/Litre","Blood count",502543,1502543,"Result of ""Eosinophils Number"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Eosinophils count is the proportion of ( eosinophils / 100 ) x white blood cell count."
30151,"Eosinophill count freeze-thaw cycles",,"Blood count processing",473909,1473909,"Number of freeze-thaw cycles sample went through before ""Eosinophils Number"" assay was performed (blood sample obtained from UK Biobank assessment centre visit)."
30160,"Basophill count","10^9 cells/Litre","Blood count",502543,1502543,"Result of ""Basophils Number"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Basophils count is the proportion of ( basophils / 100 ) x white blood cell count."
30161,"Basophill count freeze-thaw cycles",,"Blood count processing",472955,1472955,"Number of freeze-thaw cycles sample went through before ""Basophils Number"" assay was performed (blood sample obtained from UK Biobank assessment centre visit)."
30170,"Nucleated red blood cell count","10^9 cells/Litre","Blood count",496853,1496853,"Result of ""Nucleated Red Blood Cells Number"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Nucleated Red Blood Cells count is calculated as: Nucleated Red Blood Cells (percentage) x white blood cell count ."
30171,"Nucleated red blood cell count freeze-thaw cycles",,"Blood count processing",472673,1472673,"Number of freeze-thaw cycles sample went through before ""Nucleated Red Blood Cells Number"" assay was performed (blood sample obtained from UK Biobank assessment centre visit)."
30180,"Lymphocyte percentage","percent","Blood count",502550,1502550,"Result of ""Lymphocytes Percentage"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Lymphocytes (Percentage) is calculated as the proportion of lymphocytes in the leukocytes."
30181,"Lymphocyte percentage freeze-thaw cycles",,"Blood count processing",474019,1474019,"Number of freeze-thaw cycles sample went through before ""Lymphocytes Percentage"" assay was performed (blood sample obtained from UK Biobank assessment centre visit)."
30190,"Monocyte percentage","percent","Blood count",502550,1502550,"Result of ""Monocytes Percentage"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Monocytes (percentage) is calculated as the proportion of monocytes in the leukocytes."
30191,"Monocyte percentage freeze-thaw cycles",,"Blood count processing",474018,1474018,"Number of freeze-thaw cycles sample went through before ""Monocytes Percentage"" assay was performed (blood sample obtained from UK Biobank assessment centre visit)."
30200,"Neutrophill percentage","percent","Blood count",502550,1502550,"Result of ""Neutrophils Percentage"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Neutrophils (Percentage) is calculated as the proportion of neutrophils in the leukocytes."
30201,"Neutrophill percentage freeze-thaw cycles",,"Blood count processing",474019,1474019,"Number of freeze-thaw cycles sample went through before ""Neutrophils Percentage"" assay was performed (blood sample obtained from UK Biobank assessment centre visit)."
30210,"Eosinophill percentage","percent","Blood count",502550,1502550,"Result of ""Eosinophils Percentage"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Eosinophils (Percentage) is calculated as the proportion of eosinophils in the leukocytes."
30211,"Eosinophill percentage freeze-thaw cycles",,"Blood count processing",474015,1474015,"Number of freeze-thaw cycles sample went through before ""Eosinophils Percentage"" assay was performed (blood sample obtained from UK Biobank assessment centre visit)."
30220,"Basophill percentage","percent","Blood count",502550,1502550,"Result of ""Basophils Percentage"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Basophils (Percentage) is calculated as the proportion of basophils in the leukocytes."
30221,"Basophill percentage freeze-thaw cycles",,"Blood count processing",473999,1473999,"Number of freeze-thaw cycles sample went through before ""Basophils Percentage"" assay was performed (blood sample obtained from UK Biobank assessment centre visit)."
30230,"Nucleated red blood cell percentage","percent","Blood count",496849,1496849,"Result of ""Nucleated Red Blood Cells Percentage"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Nucleated Red Blood Cells (Percentage) is defined as the number of nucleated red blood cells per 100 white blood cells."
30231,"Nucleated red blood cell percentage freeze-thaw cycles",,"Blood count processing",472674,1472674,"Number of freeze-thaw cycles sample went through before ""Nucleated Red Blood Cells Percentage"" assay was performed (blood sample obtained from UK Biobank assessment centre visit)."
30240,"Reticulocyte percentage","percent","Blood count",494714,1494714,"Result of ""Reticulocytes Percentage"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Reticulocytes (Percentage) is the number of reticulocytes as a percentage of red blood cells."
30241,"Reticulocyte percentage freeze-thaw cycles",,"Blood count processing",466721,1466721,"Number of freeze-thaw cycles sample went through before ""Reticulocytes Percentage"" assay was performed (blood sample obtained from UK Biobank assessment centre visit)."
30250,"Reticulocyte count","10^12 cells/Litre","Blood count",494715,1494715,"Result of ""Reticulocytes Number"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Reticulocytes count is computed from the reticulocyte per cent multiplied by the red blood cell count."
30251,"Reticulocyte count freeze-thaw cycles",,"Blood count processing",466721,1466721,"Number of freeze-thaw cycles sample went through before ""Reticulocytes Number"" assay was performed (blood sample obtained from UK Biobank assessment centre visit)."
30260,"Mean reticulocyte volume","femtolitres","Blood count",494715,1494715,"Result of ""Mean Reticulocytes Volume"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Mean Reticulocytes volume is the average volume of all reticulocytes, calculated from the reticulocytes (percentage)."
